[139493] ['(4-6i)', '(4+2i)', '(5-2i)', '(7+6i)'] -> 4-6i * 5-2i + 4+2i * 7+6i
[139564] ['(4-6i)', '(4+2i)', '(5+i)', '(6-2i)'] -> 5+i * 6-2i - (4-6i + 4+2i)
[139629] ['(4-6i)', '(4+2i)', '(5+3i)', '(8-6i)'] -> (4-6i + 8-6i) * (5+3i - 4+2i)
[139636] ['(4-6i)', '(4+2i)', '(5+3i)', '(8+8i)'] -> (4-6i + 5+3i) / (4+2i / 8+8i)
[139738] ['(4-6i)', '(4+2i)', '(5+7i)', '(9-9i)'] -> 3-3i * (5+i + 6+2i - 7-i)
[139758] ['(4-6i)', '(4+2i)', '(5+8i)', '(9-8i)'] -> 4-6i * 4+2i + 5+8i - 9-8i
[139760] ['(4-6i)', '(4+2i)', '(5+8i)', '(9-4i)'] -> 4-6i * 5+8i - 4+2i * 9-4i
[139774] ['(4-6i)', '(4+2i)', '(5+9i)', '(7-i)'] -> (5-2i - 5+2i) / (1-i / 6+6i)
[139788] ['(4-6i)', '(4+2i)', '(5+9i)', '(9-7i)'] -> 4-6i * 4+2i + 5+9i - 9-7i
[139845] ['(4-6i)', '(4+2i)', '(6-6i)', '(6-6i)'] -> 6-6i * (4-6i + 4+2i - 6-6i)
[139848] ['(4-6i)', '(4+2i)', '(6-6i)', '(6+6i)'] -> 4-3i + 6-5i + 7+i + 7+7i
[139853] ['(4-6i)', '(4+2i)', '(6-6i)', '(7+5i)'] -> 4-6i * (7+5i - 4+2i) - 6-6i
[139856] ['(4-6i)', '(4+2i)', '(6-6i)', '(8-6i)'] -> 4+2i * 6-6i - (4-6i + 8-6i)
[139858] ['(4-6i)', '(4+2i)', '(6-6i)', '(8-2i)'] -> (4+2i + 8-2i) * (6-6i - 4-6i)
[139862] ['(4-6i)', '(4+2i)', '(6-6i)', '(8+6i)'] -> (8+6i - 4-6i) / (4+2i / 6-6i)
[139933] ['(4-6i)', '(4+2i)', '(6-2i)', '(6+6i)'] -> 6+6i * (4-6i + 4+2i - 6-2i)
[139939] ['(4-6i)', '(4+2i)', '(6-2i)', '(8-2i)'] -> 4-6i - 8-2i + 4+2i * 6-2i
[139962] ['(4-6i)', '(4+2i)', '6', '(7-4i)'] -> 3-3i + 5+i + 7-3i + 9+5i
[139980] ['(4-6i)', '(4+2i)', '(6+i)', '(8-4i)'] -> 4+8i + 2i * (-9i - 4+i)
[139992] ['(4-6i)', '(4+2i)', '(6+2i)', '(7-5i)'] -> 6+2i * 7-5i - 4-6i * 4+2i
[140002] ['(4-6i)', '(4+2i)', '(6+2i)', '(8+6i)'] -> (4-6i + 8+6i) * (6+2i - 4+2i)
[140059] ['(4-6i)', '(4+2i)', '(6+6i)', '(8+2i)'] -> 2-4i * (4+5i - 4-6i / 2-4i)
[140060] ['(4-6i)', '(4+2i)', '(6+6i)', '(8+4i)'] -> 4-6i * (6+6i - 4+2i) - 8+4i
[140081] ['(4-6i)', '(4+2i)', '(6+8i)', '(7-3i)'] -> 4+2i * 7-3i - (4-6i + 6+8i)
[140190] ['(4-6i)', '(4+2i)', '(7-5i)', '(9+9i)'] -> 1-i * 6+4i + 5-2i + 9+4i
[140197] ['(4-6i)', '(4+2i)', '(7-4i)', '(8+4i)'] -> 4+2i * 7-4i - (4-6i + 8+4i)
